INN X,INN Y,INP X,INP Y,VOUT X,VOUT Y
0,1.23,0,0.8,0,1.690069131498161e-08
1e-07,1.23,1e-07,0.8100000000000001,1e-07,1.690228286940332e-08
2.50482091957814e-07,1.23,2.50482091957814e-07,0.8250482091957815,2.50482091957814e-07,1.690074668140868e-08
4.275926735487603e-07,1.23,4.275926735487603e-07,0.8427592673548761,4.275926735487603e-07,1.690107522564284e-08
7.818138367306529e-07,1.23,7.818138367306529e-07,0.8781813836730653,7.818138367306529e-07,1.690022239560287e-08
1.490256163094438e-06,1.23,1.490256163094438e-06,0.9490256163094439,1.490256163094438e-06,1.69011530096483e-08
2.907140815822008e-06,1.23,2.907140815822008e-06,1.090714081582201,2.907140815822008e-06,1.689987899093026e-08
3.297122217989626e-06,1.23,3.297122217989626e-06,1.129712221798963,3.297122217989626e-06,1.690112152848047e-08
3.492112919073436e-06,1.23,3.492112919073436e-06,1.149211291907344,3.492112919073436e-06,1.689988982937076e-08
3.882094321241053e-06,1.23,3.882094321241053e-06,1.188209432124105,3.882094321241053e-06,1.690261546024601e-08
3.952860001032969e-06,1.23,3.952860001032969e-06,1.195286000103297,3.952860001032969e-06,1.689207514353011e-08
3.988242840928926e-06,1.23,3.988242840928926e-06,1.198824284092893,3.988242840928926e-06,1.608721373099246e-08
4.059008520720841e-06,1.23,4.059008520720841e-06,1.205900852072084,4.059008520720841e-06,-5.652671401136933e-09
4.092082494241375e-06,1.23,4.092082494241375e-06,1.209208249424138,4.092082494241375e-06,-3.041353195486586e-07
4.124649258100299e-06,1.23,4.124649258100299e-06,1.21246492581003,4.124649258100299e-06,-1.677307943673879e-06
4.1349745388448e-06,1.23,4.1349745388448e-06,1.21349745388448,4.1349745388448e-06,-3.130189921952052e-06
4.155625100333803e-06,1.23,4.155625100333803e-06,1.21556251003338,4.155625100333803e-06,-2.571982235281133e-06
4.184657849396034e-06,1.23,4.184657849396034e-06,1.218465784939603,4.184657849396034e-06,0.001534644185367078
4.198343028508785e-06,1.23,4.198343028508785e-06,1.219834302850879,4.198343028508785e-06,0.02400356402267572
4.202836206869852e-06,1.23,4.202836206869852e-06,1.220283620686985,4.202836206869852e-06,0.04693678081970674
4.211822563591985e-06,1.23,4.211822563591985e-06,1.221182256359199,4.211822563591985e-06,0.1561970824281696
4.21390594612667e-06,1.23,4.21390594612667e-06,1.221390594612667,4.21390594612667e-06,0.2182336743975622
4.215352100393157e-06,1.23,4.215352100393157e-06,1.221535210039316,4.215352100393157e-06,0.2896720278316051
4.2160751775264e-06,1.23,4.2160751775264e-06,1.22160751775264,4.2160751775264e-06,0.3463085609052177
4.217521331792886e-06,1.23,4.217521331792886e-06,1.221752133179289,4.217521331792886e-06,0.5605539740168543
4.217881266002464e-06,1.23,4.217881266002464e-06,1.221788126600246,4.217881266002464e-06,0.7071664376487544
4.218208065571699e-06,1.23,4.218208065571699e-06,1.22182080655717,4.218208065571699e-06,0.9612445189785043
4.218557709045597e-06,1.23,4.218557709045597e-06,1.22185577090456,4.218557709045597e-06,1.398932419294696
4.21881620704786e-06,1.23,4.21881620704786e-06,1.221881620704786,4.21881620704786e-06,1.762675354126818
4.219071413031722e-06,1.23,4.219071413031722e-06,1.221907141303172,4.219071413031722e-06,2.113695494717652
4.219349809421037e-06,1.23,4.219349809421037e-06,1.221934980942104,4.219349809421037e-06,2.379011336359715
4.219554695100887e-06,1.23,4.219554695100887e-06,1.221955469510089,4.219554695100887e-06,2.494634328386853
4.219793935365795e-06,1.23,4.219793935365795e-06,1.221979393536579,4.219793935365795e-06,2.583654899897118
4.220042823648999e-06,1.23,4.220042823648999e-06,1.2220042823649,4.220042823648999e-06,2.650475594682136
4.220334850530911e-06,1.23,4.220334850530911e-06,1.222033485053091,4.220334850530911e-06,2.715410239328838
4.220699980651249e-06,1.23,4.220699980651249e-06,1.222069998065125,4.220699980651249e-06,2.78171285431459
4.221376268423599e-06,1.23,4.221376268423599e-06,1.22213762684236,4.221376268423599e-06,2.884177797589581
4.222059312324832e-06,1.23,4.222059312324832e-06,1.222205931232483,4.222059312324832e-06,2.966777799367506
4.223348304201675e-06,1.23,4.223348304201675e-06,1.222334830420168,4.223348304201675e-06,3.093615641768844
4.224585886033609e-06,1.23,4.224585886033609e-06,1.222458588603361,4.224585886033609e-06,3.184456942821722
4.227061049697476e-06,1.23,4.227061049697476e-06,1.222706104969748,4.227061049697476e-06,3.287081264538404
4.229141627423536e-06,1.23,4.229141627423536e-06,1.222914162742354,4.229141627423536e-06,3.298166498269129
4.23136434485548e-06,1.23,4.23136434485548e-06,1.223136434485548,4.23136434485548e-06,3.300211278577078
4.233345718611226e-06,1.23,4.233345718611226e-06,1.223334571861123,4.233345718611226e-06,3.299103348407923
4.235435385233201e-06,1.23,4.235435385233201e-06,1.22354353852332,4.235435385233201e-06,3.300357367401554
4.238328115217165e-06,1.23,4.238328115217165e-06,1.223832811521717,4.238328115217165e-06,3.29917417714507
4.242328652001614e-06,1.23,4.242328652001614e-06,1.224232865200162,4.242328652001614e-06,3.300390884814218
4.248479438899836e-06,1.23,4.248479438899836e-06,1.224847943889984,4.248479438899836e-06,3.299199702554266
4.255775251227917e-06,1.23,4.255775251227917e-06,1.225577525122792,4.255775251227917e-06,3.300397962961626
4.268002436007258e-06,1.23,4.268002436007258e-06,1.226800243600726,4.268002436007258e-06,3.299210948087354
4.282481190577468e-06,1.23,4.282481190577468e-06,1.228248119057747,4.282481190577468e-06,3.300397243356547
4.299874892472269e-06,1.23,4.299874892472269e-06,1.229987489247227,4.299874892472269e-06,3.299218623335429
4.305148215360601e-06,1.23,4.305148215360601e-06,1.23051482153606,4.305148215360601e-06,3.300397368574497
4.315694861137265e-06,1.23,4.315694861137265e-06,1.231569486113727,4.315694861137265e-06,3.299223080314885
4.328385873924628e-06,1.23,4.328385873924628e-06,1.232838587392463,4.328385873924628e-06,3.300396489675034
4.34373487615374e-06,1.23,4.34373487615374e-06,1.234373487615374,4.34373487615374e-06,3.299226295057021
4.347673093997584e-06,1.23,4.347673093997584e-06,1.234767309399758,4.347673093997584e-06,3.300396023737811
4.355549529685272e-06,1.23,4.355549529685272e-06,1.235554952968527,4.355549529685272e-06,3.299228951350352
4.365747016368744e-06,1.23,4.365747016368744e-06,1.236574701636874,4.365747016368744e-06,3.300393884219341
4.380698824115742e-06,1.23,4.380698824115742e-06,1.238069882411574,4.380698824115742e-06,3.299230098830138
4.39987589756607e-06,1.23,4.39987589756607e-06,1.239987589756607,4.39987589756607e-06,3.300393281606366
4.423810115333942e-06,1.23,4.423810115333942e-06,1.242381011533394,4.423810115333942e-06,3.299230685742157
4.456479513883589e-06,1.23,4.456479513883589e-06,1.245647951388359,4.456479513883589e-06,3.300392834916191
4.50163245923904e-06,1.23,4.50163245923904e-06,1.250163245923904,4.50163245923904e-06,3.299231059171545
4.563277006329293e-06,1.23,4.563277006329293e-06,1.256327700632929,4.563277006329293e-06,3.300392545136398
4.646398596389062e-06,1.23,4.646398596389062e-06,1.264639859638906,4.646398596389062e-06,3.299231294462255
4.758586452762438e-06,1.23,4.758586452762438e-06,1.275858645276244,4.758586452762438e-06,3.300392358398465
4.908389493125996e-06,1.23,4.908389493125996e-06,1.2908389493126,4.908389493125996e-06,3.299231450504808
5.109727697645979e-06,1.23,5.109727697645979e-06,1.310972769764598,5.109727697645979e-06,3.30039222665785
5.320984975628081e-06,1.23,5.320984975628081e-06,1.332098497562808,5.320984975628081e-06,3.2992315653688
5.406601555897463e-06,1.23,5.406601555897463e-06,1.340660155589746,5.406601555897463e-06,3.30039346831951
5.577834716436227e-06,1.23,5.577834716436227e-06,1.357783471643623,5.577834716436227e-06,3.299231682517185
5.795756485688146e-06,1.23,5.795756485688146e-06,1.379575648568815,5.795756485688146e-06,3.300391947966092
6.037869551360483e-06,1.23,6.037869551360483e-06,1.403786955136048,6.037869551360483e-06,3.299231841124641
6.39421023420142e-06,1.23,6.39421023420142e-06,1.439421023420142,6.39421023420142e-06,3.300391849104896
6.892184842167774e-06,1.23,6.892184842167774e-06,1.489218484216777,6.892184842167774e-06,3.299231937680187
7.585344901742613e-06,1.23,7.585344901742613e-06,1.558534490174261,7.585344901742613e-06,3.300391745687972
8.596079358368378e-06,1.23,8.596079358368378e-06,1.659607935836838,8.596079358368378e-06,3.299232036593333
9.970143076045948e-06,1.23,9.970143076045948e-06,1.797014307604595,9.970143076045948e-06,3.300391651036489
9.999999999999999e-06,1.23,9.999999999999999e-06,1.8,9.999999999999999e-06,3.299812028933108
1.00597138479081e-05,1.23,1.00597138479081e-05,1.79402861520919,1.00597138479081e-05,3.299811994451885
1.01194276958162e-05,1.23,1.01194276958162e-05,1.788057230418379,1.01194276958162e-05,3.299811994448374
1.020035227979931e-05,1.23,1.020035227979931e-05,1.779964772020069,1.020035227979931e-05,3.299811994451902
1.036220144776552e-05,1.23,1.036220144776552e-05,1.763779855223448,1.036220144776552e-05,3.299811994448422
1.068589978369794e-05,1.23,1.068589978369794e-05,1.731410021630206,1.068589978369794e-05,3.299811994451995
1.133329645556278e-05,1.23,1.133329645556278e-05,1.666670354443722,1.133329645556278e-05,3.299811994448647
1.262808979929245e-05,1.23,1.262808979929245e-05,1.537191020070754,1.262808979929245e-05,3.299811994452654
1.382239010230337e-05,1.23,1.382239010230337e-05,1.417760989769662,1.382239010230337e-05,3.29981199445038
1.423334774091925e-05,1.23,1.423334774091925e-05,1.376665225908075,1.423334774091925e-05,3.299811994454996
1.457207210740074e-05,1.23,1.457207210740074e-05,1.342792789259926,1.457207210740074e-05,3.299811955166822
1.480153123029031e-05,1.23,1.480153123029031e-05,1.319846876970969,1.480153123029031e-05,3.299811953077788
1.500429485536397e-05,1.23,1.500429485536397e-05,1.299570514463603,1.500429485536397e-05,3.299811955164732
1.5204686471077e-05,1.23,1.5204686471077e-05,1.2795313528923,1.5204686471077e-05,3.299811953072176
1.528653176401606e-05,1.23,1.528653176401606e-05,1.271346823598394,1.528653176401606e-05,3.29981195517681
1.545022234989418e-05,1.23,1.545022234989418e-05,1.254977765010582,1.545022234989418e-05,3.299811953107137
1.548379862059164e-05,1.23,1.548379862059164e-05,1.251620137940836,1.548379862059164e-05,3.299811955664179
1.555095116198656e-05,1.23,1.555095116198656e-05,1.244904883801344,1.555095116198656e-05,3.299811954283586
1.556960054959546e-05,1.23,1.556960054959546e-05,1.243039945040454,1.556960054959546e-05,3.299811961138178
1.557892524339991e-05,1.23,1.557892524339991e-05,1.242107475660009,1.557892524339991e-05,3.29981195598823
1.559757463100881e-05,1.23,1.559757463100881e-05,1.240242536899119,1.559757463100881e-05,3.299811970884246
1.560231583884353e-05,1.23,1.560231583884353e-05,1.239768416115647,1.560231583884353e-05,3.299811966623163
1.561179825451299e-05,1.23,1.561179825451299e-05,1.238820174548701,1.561179825451299e-05,3.299811979028936
1.562765541801354e-05,1.23,1.562765541801354e-05,1.237234458198646,1.562765541801354e-05,3.299812006104994
1.564500727377645e-05,1.23,1.564500727377645e-05,1.235499272622355,1.564500727377645e-05,3.29981208089032
1.56631143452077e-05,1.23,1.56631143452077e-05,1.23368856547923,1.56631143452077e-05,3.299812394214527
1.568257720057812e-05,1.23,1.568257720057812e-05,1.231742279942188,1.568257720057812e-05,3.299813269308972
1.569691871899109e-05,1.23,1.569691871899109e-05,1.230308128100891,1.569691871899109e-05,3.299814015870326
1.571011266843451e-05,1.23,1.571011266843451e-05,1.228988733156549,1.571011266843451e-05,3.299815436614931
1.572192493994089e-05,1.23,1.572192493994089e-05,1.227807506005911,1.572192493994089e-05,3.299815459730492
1.573416064032142e-05,1.23,1.573416064032142e-05,1.226583935967858,1.573416064032142e-05,3.299816063102037
1.574802267758526e-05,1.23,1.574802267758526e-05,1.225197732241474,1.574802267758526e-05,3.299815189791536
1.576920005555124e-05,1.23,1.576920005555124e-05,1.223079994444876,1.576920005555124e-05,3.299755910837868
1.577030307277537e-05,1.23,1.577030307277537e-05,1.222969692722463,1.577030307277537e-05,3.299746014100592
1.577250910722362e-05,1.23,1.577250910722362e-05,1.222749089277638,1.577250910722362e-05,3.299520815187859
1.577361212444775e-05,1.23,1.577361212444775e-05,1.222638787555225,1.577361212444775e-05,3.299241483194777
1.577562226127293e-05,1.23,1.577562226127293e-05,1.222437773872707,1.577562226127293e-05,3.296838150757972
1.577812369123941e-05,1.23,1.577812369123941e-05,1.222187630876058,1.577812369123941e-05,3.272304318219658
1.578028291541608e-05,1.23,1.578028291541608e-05,1.221971708458392,1.578028291541608e-05,3.203796351861393
1.578294772031803e-05,1.23,1.578294772031803e-05,1.221705227968197,1.578294772031803e-05,3.029889856788494
1.578488968397569e-05,1.23,1.578488968397569e-05,1.221511031602431,1.578488968397569e-05,2.804450504564888
1.578547959099158e-05,1.23,1.578547959099158e-05,1.221452040900842,1.578547959099158e-05,2.693194399191545
1.578602303796405e-05,1.23,1.578602303796405e-05,1.221397696203595,1.578602303796405e-05,2.542239656626813
1.578638708805442e-05,1.23,1.578638708805442e-05,1.221361291194558,1.578638708805442e-05,2.385039059960892
1.578667660668595e-05,1.23,1.578667660668595e-05,1.221332339331405,1.578667660668595e-05,2.167924274063062
1.578698709940183e-05,1.23,1.578698709940183e-05,1.221301290059817,1.578698709940183e-05,1.80787657879029
1.57873261456319e-05,1.23,1.57873261456319e-05,1.22126738543681,1.57873261456319e-05,1.286977535088284
1.578752848487271e-05,1.23,1.578752848487271e-05,1.221247151512729,1.578752848487271e-05,0.95181560796528
1.578769456615303e-05,1.23,1.578769456615303e-05,1.221230543384697,1.578769456615303e-05,0.7282641865940425
1.578786857760916e-05,1.23,1.578786857760916e-05,1.221213142239084,1.578786857760916e-05,0.5863368179753067
1.5788050247927e-05,1.23,1.5788050247927e-05,1.2211949752073,1.5788050247927e-05,0.5106740278287887
1.57882617004858e-05,1.23,1.57882617004858e-05,1.221173829951419,1.57882617004858e-05,0.4563175783360822
1.57884461270932e-05,1.23,1.57884461270932e-05,1.22115538729068,1.57884461270932e-05,0.4173512480726465
1.578869701648953e-05,1.23,1.578869701648953e-05,1.221130298351047,1.578869701648953e-05,0.3795857884712504
1.57891987952822e-05,1.23,1.57891987952822e-05,1.22108012047178,1.57891987952822e-05,0.3159592203908632
1.578960844790467e-05,1.23,1.578960844790467e-05,1.221039155209533,1.578960844790467e-05,0.2790030806573143
1.57904277531496e-05,1.23,1.57904277531496e-05,1.22095722468504,1.57904277531496e-05,0.220721194069578
1.579125063940701e-05,1.23,1.579125063940701e-05,1.220874936059299,1.579125063940701e-05,0.1820514578762918
1.579289641192183e-05,1.23,1.579289641192183e-05,1.220710358807817,1.579289641192183e-05,0.1304103027457857
1.579435629752088e-05,1.23,1.579435629752088e-05,1.220564370247912,1.579435629752088e-05,0.1032220692503457
1.579672971416427e-05,1.23,1.579672971416427e-05,1.220327028583573,1.579672971416427e-05,0.07283570903262675
1.579928980444372e-05,1.23,1.579928980444372e-05,1.220071019555628,1.579928980444372e-05,0.05193034016783848
1.580265770847841e-05,1.23,1.580265770847841e-05,1.219734229152158,1.580265770847841e-05,0.032473891247796
1.580714984383737e-05,1.23,1.580714984383737e-05,1.219285015616263,1.580714984383737e-05,0.01800736825937486
1.580854164254852e-05,1.23,1.580854164254852e-05,1.219145835745147,1.580854164254852e-05,0.01426621782393316
1.581132523997083e-05,1.23,1.581132523997083e-05,1.218867476002917,1.581132523997083e-05,0.00879890811425175
1.5815357333192e-05,1.23,1.5815357333192e-05,1.2184642666808,1.5815357333192e-05,0.003405575074152663
1.582002085594426e-05,1.23,1.582002085594426e-05,1.217997914405573,1.582002085594426e-05,0.001405137185916133
1.582807484920414e-05,1.23,1.582807484920414e-05,1.217192515079585,1.582807484920414e-05,-3.777035780693558e-05
1.583834998709143e-05,1.23,1.583834998709143e-05,1.216165001290857,1.583834998709143e-05,0.0002265201721459658
1.585752069720772e-05,1.23,1.585752069720772e-05,1.214247930279228,1.585752069720772e-05,-0.0001998948869167952
1.58781396654763e-05,1.23,1.58781396654763e-05,1.21218603345237,1.58781396654763e-05,0.0002066253187217461
1.590467869335737e-05,1.23,1.590467869335737e-05,1.209532130664263,1.590467869335737e-05,-0.0002044144363308815
1.593148280084296e-05,1.23,1.593148280084296e-05,1.206851719915704,1.593148280084296e-05,0.0002049984789067192
1.595853163516615e-05,1.23,1.595853163516615e-05,1.204146836483384,1.595853163516615e-05,-0.0002048200860865527
1.599183689538924e-05,1.23,1.599183689538924e-05,1.200816310461076,1.599183689538924e-05,0.0002048340504947637
1.604973074397804e-05,1.23,1.604973074397804e-05,1.195026925602196,1.604973074397804e-05,-0.0002047518705106372
1.613877155451027e-05,1.23,1.613877155451027e-05,1.186122844548973,1.613877155451027e-05,0.0002047590080113545
1.625077071995275e-05,1.23,1.625077071995275e-05,1.174922928004725,1.625077071995275e-05,-0.0002046992007433842
1.636596224371809e-05,1.23,1.636596224371809e-05,1.163403775628191,1.636596224371809e-05,0.0002047253392772986
1.64846079563886e-05,1.23,1.64846079563886e-05,1.15153920436114,1.64846079563886e-05,-0.0002046752147118574
1.664007188737991e-05,1.23,1.664007188737991e-05,1.135992811262009,1.664007188737991e-05,0.0002047017104471127
1.686744521726024e-05,1.23,1.686744521726024e-05,1.113255478273976,1.686744521726024e-05,-0.0002046453321697813
1.717371857236893e-05,1.23,1.717371857236893e-05,1.082628142763107,1.717371857236893e-05,0.0002046728081103346
1.759880427444156e-05,1.23,1.759880427444156e-05,1.040119572555844,1.759880427444156e-05,-0.0002046208431318923
1.816757061212834e-05,1.23,1.816757061212834e-05,0.9832429387871656,1.816757061212834e-05,0.0002046512338284722
1.895644034818421e-05,1.23,1.895644034818421e-05,0.9043559651815793,1.895644034818421e-05,-0.0002046009564929828
2e-05,1.23,2e-05,0.8,2e-05,0.0002046327192853549
2.007504166666667e-05,1.23,2.007504166666667e-05,0.8075041666666667,2.007504166666667e-05,-6.288754881630066e-09
2.0225125e-05,1.23,2.0225125e-05,0.8225125000000001,2.0225125e-05,-1.645366644927732e-08
2.052529166666667e-05,1.23,2.052529166666667e-05,0.8525291666666669,2.052529166666667e-05,2.436046136909754e-08
2.1125625e-05,1.23,2.1125625e-05,0.9125625000000004,2.1125625e-05,9.441754881432352e-09
2.232629166666667e-05,1.23,2.232629166666667e-05,1.032629166666667,2.232629166666667e-05,2.435893158283424e-08
2.27875820535489e-05,1.23,2.27875820535489e-05,1.07875820535489,2.27875820535489e-05,9.443066077944926e-09
2.301822724699001e-05,1.23,2.301822724699001e-05,1.101822724699001,2.301822724699001e-05,2.435574775598795e-08
2.347951763387223e-05,1.23,2.347951763387223e-05,1.147951763387224,2.347951763387223e-05,9.446230625031327e-09
2.362361922250528e-05,1.23,2.362361922250528e-05,1.162361922250529,2.362361922250528e-05,2.435226334307339e-08
2.391182239977138e-05,1.23,2.391182239977138e-05,1.191182239977138,2.391182239977138e-05,9.452130814171051e-09
2.396904449445296e-05,1.23,2.396904449445296e-05,1.196904449445296,2.396904449445296e-05,2.421521231102071e-08
2.399765554179374e-05,1.23,2.399765554179374e-05,1.199765554179375,2.399765554179374e-05,8.116490578255631e-09
2.405487763647532e-05,1.23,2.405487763647532e-05,1.205487763647533,2.405487763647532e-05,3.636701514127197e-09
2.408348868381611e-05,1.23,2.408348868381611e-05,1.208348868381611,2.408348868381611e-05,-1.947389801849748e-07
2.412262711381955e-05,1.23,2.412262711381955e-05,1.212262711381955,2.412262711381955e-05,-1.390721054177013e-06
2.413336422248604e-05,1.23,2.413336422248604e-05,1.213336422248604,2.413336422248604e-05,-3.083876574810279e-06
2.415483843981901e-05,1.23,2.415483843981901e-05,1.215483843981902,2.415483843981901e-05,-2.749262939233084e-06
2.418272454258275e-05,1.23,2.418272454258275e-05,1.218272454258275,2.418272454258275e-05,0.000950118196303447
2.419697897033927e-05,1.23,2.419697897033927e-05,1.219697897033928,2.419697897033927e-05,0.01925521021853158
2.420167783589613e-05,1.23,2.420167783589613e-05,1.220167783589614,2.420167783589613e-05,0.04001408409244854
